2023年04月原材料收发存明细表,,,,,,,,,,
02011057,硬毛毡1155,1155,14,57.4,,,,,14,57.4
02011058,硬毛毡1226,1226,18,73.8,,,,,18,73.8
02011059,硬毛毡1110,1110,23,94.3,,,,,23,94.3
02011060,硬毛毡1120,1120,20,82,,,,,20,82
02011064,猫咪面具云朵毛毡,,231,48.51,,,231,48.51,,
02011065,蓝色硬毛毡-16,,44,532,,,,,44,532
02011066,硬毛毡-820,,28,280,,,,,28,280
02011067,硬毛毡-255,,24,120,,,,,24,120
02011068,硬毛毡-823,,22,220,,,,,22,220
02011069,毛毡-063,,8,112,,,,,8,112
02011070,毛毡-026,,20,280,,,,,20,280
02011071,毛毡-080,,42,588,,,,,42,588
02011072,毛毡-022,,38,532,,,,,38,532
02011073,软毛毡-026,,37,296,,,,,37,296
02011074,软毛毡-017,,31,248,,,,,31,248
02011075,软毛毡-128,,26,208,,,,,26,208
02011076,软毛毡-091,,41,328,,,,,41,328
02011077,软毛毡-022,,35,280,,,,,35,280
02011078,硬毛毡-821,,14,140,,,,,14,140
02011080,软毛毡-051,,27,216,,,,,27,216
02011081,软毛毡-054,,20,160,,,,,20,160
02011083,绒布,CH1376,4,90,,,4,90,,
02011084,绒布,,255,5737.5,,,,,255,5737.5
02011086,软毛毡-F1,CH1377,18,126,,,,,18,126
02011087,复合短毛绒PN-001,CH1386,45,713.25,,,45,713.25,,
02011088,考拉衣服,CH1376,2985,2238.75,,,720,540,2265,1698.75
02011089,兔子衣服,CH1377,3020,2265,,,,,3020,2265
02011090,猫咪衣服,CH1378,4330,1948.5,,,360,162,3970,1786.5
02011091,毛毡PN-162,PN-162,82,656,,,60,480,22,176
02011092,硬毛毡-821,821,21,210,,,,,21,210
02011093,硬毛毡-213,213,50,250,,,,,50,250
02011097,毛毡 PN-026,PN-101,25,200,,,,,25,200
02011098,毛毡PN-054,PN-054,98,784,,,60,480,38,304
02011099,毛毡PN-042,PN-042,47,376,,,,,47,376
02011112,背胶-硬毛毡,P-052,3,32.4,,,,,3,32.4
02011115,背胶-硬毛毡,P-202,55,594,,,,,55,594
02011116,背胶-硬毛毡,P-010,71,766.8,,,60,648,11,118.8
02011117,背胶-硬毛毡,P-206,6,64.8,,,,,6,64.8
02011118,背胶-硬毛毡,P-062,30,324,,,,,30,324
02011119,背胶-硬毛毡,P-118,30,324,,,,,30,324
02011121,背胶-硬毛毡,P-059,35,378,,,,,35,378
02011122,硬毛毡-2202,,15,162,,,,,15,162
02011123,硬毛毡-2207,,15,162,,,,,15,162
02011124,硬毛毡-2206,,15,162,,,,,15,162
02011125,硬毛毡-2211,,15,162,,,,,15,162
02011126,硬毛毡-2217,,15,162,,,,,15,162
02011127,硬毛毡-2219,,15,162,,,,,15,162
02011128,硬毛毡-2215,,15,162,,,,,15,162
02011129,硬毛毡-2214,,15,162,,,,,15,162
02011130,硬毛毡-2218,,15,162,,,,,15,162
02011131,硬毛毡-2220,,15,162,,,,,15,162
02011132,硬毛毡-2248,,15,162,,,,,15,162
02011133,硬毛毡-2209,,15,162,,,,,15,162
02011134,软毛毡PN-143,,75,600,,,60,480,15,120
02011138,背胶软毛毡,P-001,6,64.8,,,,,6,64.8
02011140,背胶软毛毡,P-202,30,324,,,,,30,324
02011141,背胶软毛毡,P-010,8,86.4,,,,,8,86.4
02011142,背胶软毛毡,P-206,50,540,,,,,50,540
02011143,背胶软毛毡,P-062,40,432,,,,,40,432
02011144,背胶软毛毡,P-118,30,324,,,,,30,324
02011145,背胶软毛毡,P-069,30,324,,,,,30,324
02011146,背胶软毛毡,P-059,30,324,,,,,30,324
02011147,背胶-硬毛毡,P-239,60,648,,,60,648,,
02011148,背胶-硬毛毡,P-166,61,658.8,,,60,648,1,10.8
02011149,背胶-硬毛毡,P-165,20,216,,,,,20,216
02011150,背胶-硬毛毡,P-020,73,788.4,,,60,648,13,140.4
02011151,硬毛毡-866,,86,860,,,60,600,26,260
02011152,硬毛毡-855,,50,500,,,,,50,500
02011154,硬毛毡-824,,20,200,,,,,20,200
02011160,硬毛毡-849,,55,550,,,,,55,550
02011161,硬毛毡-853,,40,400,,,,,40,400
02011164,硬毛毡,272,20,129.6,,,,,20,129.6
02011165,软毛毡-H43,玫红色 H43,60,168,,,60,168,,
02011167,软毛毡-H82,米白色 H82,40,112,,,,,40,112
02011169,软毛毡-H115,紫色 H115,19,53.2,,,,,19,53.2
02011170,黑色闪粉贴,,49,882,,,,,49,882
02011171,银色闪粉贴,,56,1008,,,,,56,1008
02011172,粉色闪粉贴,,18,324,,,,,18,324
02011173,七彩白,,14,280,,,,,14,280
02011174,长毛绒复合 -米色,,73,131.4,,,,,73,131.4
02011175,长毛绒复合 -白色,,55.8,100.44,,,,,55.8,100.44
02011177,长毛绒复合 -咖啡色,,113.4,204.12,,,,,113.4,204.12
02011178,长毛绒复合 -灰色,,82,491.8,,,,,82,491.8
02011179,灯芯绒复合 -粉色,,379,1288.6,,,,,379,1288.6
02011180,灯芯绒复合 -白色,,413,1404.2,,,,,413,1404.2
02011181,灯芯绒复合 -咖啡色,,259,880.6,,,,,259,880.6
02011182,灯芯绒复合 -绿色,,93,316.2,178,605.2,,,271,921.4
02011183,灯芯绒复合 -橙色,,61,207.4,,,,,61,207.4
02011184,灯芯绒复合 -紫色,,135,459,,,,,135,459
02011187,硬毛毡 2873,,48,155.52,,,,,48,155.52
02011188,硬毛毡 807,,55,178.2,,,,,55,178.2
02011189,硬毛毡 TW,,60,194.4,,,60,194.4,,
02011190,硬毛毡 3052,,18,58.32,,,,,18,58.32
02011191,硬毛毡 898,,11,35.64,,,,,11,35.64
02011192,硬毛毡 3016,,11,35.64,,,,,11,35.64
02011193,硬毛毡 T2910,,80,259.2,,,60,194.4,20,64.8
02011194,软毛毡-H40,,80,224,,,60,168,20,56
02011199,长毛绒复合 -粉色,,19,64.6,,,,,19,64.6
020110013,硬毛毡-3802,,39,175.5,100,450,60,270,79,355.5
020110014,硬毛毡-3823,,55,247.5,,,,,55,247.5
020110015,硬毛毡-3824,,55,247.5,,,,,55,247.5
020110016,硬毛毡-3826,,30,135,,,,,30,135
020110017,硬毛毡-3828,,55,247.5,,,,,55,247.5
020110018,硬毛毡-3845,,30,135,,,,,30,135
020110019,硬毛毡-3863,,50,225,,,,,50,225
020110020,硬毛毡-3876,,60,270,,,60,270,,
020110021,硬毛毡-3920,,30,135,,,,,30,135
020110022,硬毛毡-3952,,30,135,,,,,30,135
020110023,硬毛毡-3985,,30,135,,,,,30,135
020110024,硬毛毡-3988,,30,135,,,,,30,135
020110025,背胶-硬毛毡,P-208,18,194.4,,,,,18,194.4
020110028,毛毡PN-070,,50,400,,,,,50,400
020110029,硬毛毡-22,,98,980,,,60,600,38,380
020110030,硬毛毡-14,,80,800,,,60,600,20,200
020110031,硬毛毡-20,,120,1200,,,60,600,60,600
020110032,背胶-硬毛毡,P-003,20,216,,,,,20,216
020110033,背胶-硬毛毡,P-008,10,108,,,,,10,108
020110034,背胶-硬毛毡,P-022,90,972,,,60,648,30,324
020110035,背胶-硬毛毡,P-110,20,216,,,,,20,216
020110036,背胶-硬毛毡,P-115,10,108,,,,,10,108
020110037,背胶-硬毛毡,P-127,50,540,,,,,50,540
020110038,背胶-硬毛毡,P-215,30,324,,,,,30,324
020110039,背胶-硬毛毡,P-245,30,324,,,,,30,324
020110042,毛毡PN-013,,70,560,,,60,480,10,80
020110043,毛毡PN-157,,10,80,,,,,10,80
020110044,毛毡PN-051,,60,480,,,60,480,,
020110045,硬毛毡-2822,,15,48.6,,,,,15,48.6
020110046,硬毛毡-T2803,,65,210.6,,,60,194.4,5,16.2
020110047,硬毛毡-873,,15,48.6,,,,,15,48.6
020110048,毛毡PN-008,,30,240,,,,,30,240
020110049,毛毡PN-144,,40,320,,,,,40,320
020110050,背胶软毛毡,P-166,60,648,,,60,648,,
020110051,硬毛毡-T3021,T3021,55,178.2,,,,,55,178.2
020110052,硬毛毡-T2994,T2994,60,194.4,,,60,194.4,,
020110053,硬毛毡-T2821,T2821,60,194.4,,,60,194.4,,
020110054,硬毛毡-T3086,T3086,55,178.2,,,,,55,178.2
020110055,长毛绒背胶,,25,150,,,,,25,150
020110056,硬毛毡-T2811,T2811,60,194.4,150,486,60,194.4,150,486
020110057,硬毛毡-T2825,,20,64.8,50,162,60,194.4,10,32.4
020110058,硬毛毡-T3012,,60,194.4,,,60,194.4,,
020110059,硬毛毡-T3114,,30,97.2,120,388.8,60,194.4,90,291.6
020110060,毛毡PN-096,PN-096,40,320,,,,,40,320
020110061,毛毡PN-115,PN-115,80,640,,,60,480,20,160
020110062,硬毛毡-T2802,,50,162,,,,,50,162
020110063,硬毛毡-T2863,,84,272.16,,,60,194.4,24,77.76
020110064,硬毛毡-T2822,,50,162,,,,,50,162
020110065,硬毛毡-T2812,,60,194.4,,,60,194.4,,
020110066,硬毛毡-T3025,,10,32.4,,,,,10,32.4
020110067,硬毛毡-815,,50,162,,,,,50,162
020110068,硬毛毡-2807,,20,64.8,,,,,20,64.8
020110069,软毛毡-H74,,10,28,,,,,10,28
020110070,硬毛毡-T2815,,10,32.4,,,,,10,32.4
020110071,硬毛毡-T2898,,10,32.4,,,,,10,32.4
020110072,硬毛毡-T3103,,20,64.8,,,,,20,64.8
020110073,灯芯绒复合 -棕色,,,,272,924.8,,,272,924.8
020111,PP棉,,1420,19880,,,,,1420,19880
02011402,(手工相框-新十字绣艺术卡-孔雀)尾卡纸,CH1524,1070,160.5,,,,,1070,160.5
02011406,(礼品盒-海洋)尾卡纸,MB197064,434,390.6,,,,,434,390.6
02011407,(礼品盒-食物)尾卡纸,MB197065,834,750.6,,,,,834,750.6
02011408,(礼品盒-海洋)尾卡纸,MB199211,4294,2941.1,,,,,4294,2941.1
02011409,(礼品盒-食物)尾卡纸,MB199212,3084,2154.6,,,,,3084,2154.6
02011501,包装塑料盒,,300,6150,,,,,300,6150
020116,帆布画框,,2600,7280,,,,,2600,7280
02011815,透明PET片,,1600,240,,,,,1600,240
02011826,透明大PET片,,13200,6468,,,,,13200,6468
02011834,PET片小,,6200,930,,,,,6200,930
02011837,上色帆布玩偶颜料,,136,174.08,,,,,136,174.08
02011838,紫色亮片串,,14,29.33,,,,,14,29.33
02011841,磁力贴片,CH191735,4900,20041,,,,,4900,20041
02011845,衍纸笔,,23610,17707.5,,,,,23610,17707.5
02011846,衍纸曲规器,,9260,7871,,,,,9260,7871
02011847,衍纸补充装-衍纸,,2000,3700,,,,,2000,3700
02011848,衍纸补充装-衍纸笔,,6200,4650,,,,,6200,4650
02011852,PET小,LC200037-1,12100,1815,,,,,12100,1815
02011857,银色PU,,92,3477.6,,,,,92,3477.6
02011858,彩虹色皮革,,224,10886.4,,,,,224,10886.4
02011859,缝制卡板书,CH201760,2946,26219.4,,,,,2946,26219.4
02011868,衍纸补充装-衍纸笔,CH201746,3964,20774.21,,,,,3964,20774.21
02011878,钥匙扣,CH201772,5958,1042.65,,,1288,225.4,4670,817.25
02011881,PET盖 小,,37440,5428.8,12100,1754.5,,,49540,7183.3
02011883,纸胶带,ZE1070A,3030,3196.65,,,3030,3196.65,,
02011888,塑料条,,6060,2666.4,4000,1760,10060,4426.4,,
02011890,海绵刷,ZE1067A,3100,3565,,,3100,3565,,
02011891,蘑菇头海绵刷,ZE1067A,3100,2170,,,3100,2170,,
02011892,PET盖 大,,15390,8156.7,,,,,15390,8156.7
02011893,网格木框,38195,,,2550,12823.95,,,2550,12823.95
02011894,圆木棒,38195,,,2550,3001.35,,,2550,3001.35
020118018,PET盒子,ZE1067A,6100,2440,,,6100,2440,,
020118022,手指画颜料,ZE1067A,3030,19998,,,3030,19998,,
020118034,蜡线-P102,,8800,2640,3100,930,,,11900,3570
020118035,蜡线-P108,,23600,6765,4200,1260,,,27800,8025
020118036,蜡线-P118,,32300,9270,7300,2190,,,39600,11460
020118037,蜡线-P140,,13000,3690,,,,,13000,3690
020118038,蜡线-P141,,4300,1290,2100,630,,,6400,1920
020118039,蜡线-P148,,11000,3300,,,,,11000,3300
020118040,蜡线-P158,,8700,2505,,,,,8700,2505
020118041,蜡线-P162,,5200,1300,,,,,5200,1300
020118042,蜡线-P146,,2100,525,,,,,2100,525
020118043,立方体+计数条+计数片,HSI201-309,1585,223168,,,,,1585,223168
020118047,（不湿沙-四色混）塑料瓶+盖子,30347,,,15250,10065,,,15250,10065
020118048,提杆,CH221575,80,24,,,,,80,24
02011902,帆布画毛刷,,3750,1875,,,,,3750,1875
02011903,塑料毛刷,,100000,24000,,,,,100000,24000
02012019,独角兽刮画不干胶,CH1428,4850,3880,,,,,4850,3880
02012032,5款不干胶,19A015-2,200,30,,,,,200,30
02012040,内销中文不干胶,,8000,960,,,,,8000,960
02012041,平张双面胶,,8500,1700,,,,,8500,1700
02012061,23款不干胶,,1540,154,,,,,1540,154
02012070,中文不干胶,CH1470,2000,150,,,,,2000,150
02012071,中文不干胶,CH1471,500,92.5,,,,,500,92.5
02012082,中文不干胶,CH1630,1700,136,,,,,1700,136
020120111,刮刮画不干胶,,5020,251,,,,,5020,251
020120113,大圆筒不干胶,,700,47.73,,,,,700,47.73
020120115,十字绣不干胶,,500,150,,,,,500,150
020120122,8款不干胶,19A103-33,480,21.6,,,,,480,21.6
020120131,两款不干胶,19A126-51,470,65.8,,,,,470,65.8
020120134,不干胶,19A161-1,1040,104,,,,,1040,104
020120135,不干胶,19A162-22,940,141,,,,,940,141
02012015217,（阳光捕手套装）价格不干胶,,,,6100,305,6100,305,,
02012015219,价格不干胶,30347,,,15200,760,,,15200,760
02012015709,袋子警告语PE不干胶,,19496,1603.32,,,,,19496,1603.32
02012015883,额外不干胶,,4290,365.6,119077,14691.56,,,123367,15057.16
02012015896,额外不干胶-前置,,,,10000,750,,,10000,750
020120159102,牛皮纸不干胶,,382,271.6,3004,2403.2,,,3386,2674.8
020120159103,二维码不干胶,,220500,4410,4000,80,,,224500,4490
020120159113,（珠子塑料盒装）额外不干胶,,1300,351,,,,,1300,351
02012015908,刮画不干胶,CH1674,1125,132.5,,,125,12.5,1000,120
02012015910,刮画不干胶,CH1677,185,18.5,,,,,185,18.5
02012016003,纹身贴不干胶,69362,450,45,,,,,450,45
02012016004,纹身贴不干胶,69361,250,25,,,,,250,25
02012016005,纹身贴不干胶,69446,200,20,,,,,200,20
02012016006,纹身贴不干胶,69454,200,20,,,,,200,20
02012016007,纹身贴不干胶,69458,300,30,,,,,300,30
02012016011,纹身贴不干胶,69360,450,45,,,,,450,45
02012016012,纹身贴不干胶,69364,450,45,,,,,450,45
02012016801,指甲贴不干胶,NA198173,500,40,,,,,500,40
02012016802,指甲贴不干胶,NA198174,500,40,,,,,500,40
02012016803,指甲贴不干胶,NA198175,2200,156,,,,,2200,156
02012016804,指甲贴不干胶,NA198176,3305,268.5,,,,,3305,268.5
02012016805,指甲贴不干胶,NA198177,705,60.5,,,,,705,60.5
02012016806,指甲贴不干胶,NA198178,2105,210.5,,,,,2105,210.5
02012016807,指甲贴不干胶,NA198179,500,40,,,,,500,40
02012016808,指甲贴不干胶,NA198180,500,40,,,,,500,40
02012016809,指甲贴不干胶,NA198181,3100,248,,,,,3100,248
02012016810,指甲贴不干胶,NA198182,210,31.5,,,,,210,31.5
02012016811,指甲贴不干胶,NA198183,210,31.5,,,,,210,31.5
02012016812,指甲贴不干胶,NA198184,210,31.5,,,,,210,31.5
02012016813,指甲贴不干胶,NA198185,210,31.5,,,,,210,31.5
02012016814,指甲贴不干胶,NA198186,210,31.5,,,,,210,31.5
02012016815,指甲贴不干胶,NA198187,210,31.5,,,,,210,31.5
02012017301,纹身贴不干胶,69326,1200,84,,,,,1200,84
02012017302,纹身贴不干胶,69327,1100,77,,,,,1100,77
02012017303,纹身贴不干胶,69328,700,70,,,,,700,70
02012017304,纹身贴不干胶,69568,1000,100,,,,,1000,100
0201210177,中文不干胶,CH191601,2000,240,,,,,2000,240
020120174,包装不干胶,38131,6060,909,3030,909,9090,1818,,
020120176,价格不干胶,38131,3030,75.75,,,3030,75.75,,
0201210189,黑白不干胶,,6425,424.95,4980,348.6,,,11405,773.55
0201210199,背胶贴纸,CH221839,4778,2484.56,3030,1575.6,1720,894.4,6088,3165.76
0201210200,背胶贴纸,CH221840,5642,2933.84,,,1720,894.4,3922,2039.44
0201210201,背胶贴纸,CH221841,4778,2484.56,3030,1575.6,1288,669.76,6520,3390.4
0201210202,背胶贴纸,CH221842,4778,2484.56,,,1216,632.32,3562,1852.24
0201210203,荧光色背胶贴纸,CH221839,4778,1815.64,3030,1151.4,1720,653.6,6088,2313.44
0201210204,荧光色背胶贴纸,CH221840,5642,2143.96,,,1720,653.6,3922,1490.36
0201210205,荧光色背胶贴纸,CH221841,4778,1815.64,3030,1151.4,1288,489.44,6520,2477.6
0201210206,荧光色背胶贴纸,CH221842,4778,1815.64,,,1216,462.08,3562,1353.56
020120142,荧光色背胶贴纸,CH221773,3050,1159,,,496,188.48,2554,970.52
020120143,普通背胶贴纸,CH221773,3050,793,,,496,128.96,2554,664.04
02012103,粉色绒毛球,,6,150,,,,,6,150
02012104,紫色绒毛球,,5,125,,,,,5,125
02012105,黄色绒毛球,,4,100,,,,,4,100
02012106,浅蓝色绒毛球,,6,150,,,,,6,150
02012107,青色绒毛球,,7,175,,,,,7,175
02012108,白色绒毛球,,3,82.5,,,,,3,82.5
02012112,万花尺,,2411,2820.87,,,,,2411,2820.87
02012116,1.5MM蜡线,,74400,18600,,,,,74400,18600
02012121,原色太空沙,,1900,13680,,,,,1900,13680
02012133,贝壳,,85,3502,,,,,85,3502
02012139,金色冰丝流苏,,2800,375.2,,,,,2800,375.2
02012140,粉红色发箍,,3500,1176,,,,,3500,1176
02012141,蓝色发箍,,7600,2584,,,,,7600,2584
02012142,闪粉网纱,,5780,4450.6,,,,,5780,4450.6
02012147,黄色小锤子,,2200,1883.2,,,,,2200,1883.2
02012149,绿色胶头针,,9,1440,,,,,9,1440
02012150,五角星珠子-粉色,,3400,68,,,,,3400,68
02012151,五角星珠子-蓝色,,3400,68,,,,,3400,68
02012154,粉色塑料针,,200000,8200,,,,,200000,8200
020121117,S413金线,,5,129,,,,,5,129
020121110,塑料刀,,3200,864,,,,,3200,864
020121130,亮粉纸,,3200,2880,,,,,3200,2880
020121131,塑料钉,,64200,69978,,,,,64200,69978
020121132,灯带,CH191434,1887,3962.7,,,932,1957.2,955,2005.5
020121140,衍纸套装纸条,,7000,217,,,,,7000,217
020121141,印台,CH201764,172,232.2,,,172,232.2,,
020121142,印台,CH201763,6124,8267.4,,,172,232.2,5952,8035.2
020121143,印台,CH201765,652,880.2,,,172,232.2,480,648
020121144,印台,CH201766,5852,7900.2,,,172,232.2,5680,7668
020121145,印章,CH201763,4498,26763.1,,,172,1023.4,4326,25739.7
020121148,印章,CH201766,4998,29738.1,,,172,1023.4,4826,28714.7
020121123,多边体木珠,,36800,5520,,,36800,5520,,
02012224,圆柱体木珠,,36800,2576,,,36800,2576,,
02012225,圆形木珠,,36800,2576,,,36800,2576,,
02012226,立方体木珠,,51850,4666.5,,,51850,4666.5,,
02012227,爱心木珠,,33750,5737.5,,,33750,5737.5,,
02012228,星星木珠,,33750,5737.5,,,33750,5737.5,,
02012229,钻石,CH201767,42,58.8,,,,,42,58.8
02012246,金色链条+包扣,,,,3030,1999.8,,,3030,1999.8
02012247,不锈钢圆珠链子,,2000,700,,,,,2000,700
02012261,钓鱼竿,CH211788,21676,18202.92,,,568,96.56,21108,18106.36
02012262,干花,,,,17,2380,,,17,2380
020121149,棉线-823,,,,6200,682,,,6200,682
020121156,涤纶线-300,,2,65,,,,,2,65
020121157,涤纶线-948,,7,227.5,1,32.5,,,8,260
020121158,涤纶线-996,,3,97.5,1,32.5,,,4,130
020121159,涤纶线-3820,,4,130,,,,,4,130
020121160,涤纶线-307,,13,422.5,,,,,13,422.5
02012264,印台,,690,310.5,,,,,690,310.5
02012265,北极绒,CH1623,156.6,1338.93,,,92,786.6,64.6,552.33
02012266,北极绒,CH1624,158.4,1354.32,,,85,726.75,73.4,627.57
02012267,北极绒,,46,393.3,,,,,46,393.3
02012268,无纺布,,3194.2,5430.14,,,,,3194.2,5430.14
02012269,薄页纸,,,,14000,308,,,14000,308
02012270,工具笔,CH201767/68,9110,2277.5,,,,,9110,2277.5
02012272,网布,,600,3600,,,,,600,3600
02012273,鹿皮绳,,9600,3840,,,,,9600,3840
02012274,冰条线,,3200,3520,,,,,3200,3520
020121161,冰条线 粉色,,20,700,,,,,20,700
020121162,冰条线 灰色,,88.2,3704.4,,,,,88.2,3704.4
020121163,冰条线 白色,,82,3444,,,,,82,3444
02012275,毛球,,5550,1620.4,,,,,5550,1620.4
020121014,塑料发声器,30349,,,6050,6655,,,6050,6655
02012205,沙画纸,I20125A-3,3000,10950,,,,,3000,10950
02012401,绕线鲸鱼MDF板,,660,3333.3,,,,,660,3333.3
02012402,绕线海马MDF板,,960,6192,,,,,960,6192
02012607,4合1轻泥,CH201761,16716,38446.8,,,,,16716,38446.8
02012612,（不湿沙-四色混）不湿沙,30347,,,500,6750,,,500,6750
02013001,毛条,红+黄,106,614.8,,,,,106,614.8
02013002,毛条,黄+绿,63,365.4,,,,,63,365.4
02013003,毛条,桔+黑,64,371.2,,,,,64,371.2
02013004,毛条,蓝+紫,127,736.6,,,,,127,736.6
02013005,毛条,紫+绿,64,371.2,,,,,64,371.2
02013007,加密毛条,L-50浅雪牙,7000,700,,,,,7000,700
02013008,加密毛条,L-25白色,7000,700,,,,,7000,700
02013009,加密毛条,L-43浅湖蓝,7000,700,,,,,7000,700
02013010,加密毛条,L-39浅黄,7000,700,,,,,7000,700
02013011,毛条,浅粉+果绿,200,1840,,,,,200,1840
02013012,毛条,浅黄+深湖蓝,200,1840,,,,,200,1840
02013013,毛条,大红色,6100,201.3,,,6100,201.3,,
02013014,毛条,蓝色,6100,201.3,,,6100,201.3,,
02013101,(沙子礼盒套装-海洋)印章模具,,1218,7795.2,,,,,1218,7795.2
02013102,(沙子礼盒套装-海洋)普通模具,,1018,4326.5,,,,,1018,4326.5
02013103,(沙子礼盒套装-食物)印章模具,,642,4108.8,,,,,642,4108.8
02013104,(沙子礼盒套装-食物)普通模具,,492,2091,,,,,492,2091
02013106,造型沙模具,MB199318,1048,3493.19,,,,,1048,3493.19
02013107,造型沙模具,MB199335,529,1993.41,,,,,529,1993.41
02013108,造型沙模具,MB199316,785,2116.49,,,,,785,2116.49
02013109,造型沙模具,MB199311,1222,4850.07,,,,,1222,4850.07
02013114,PP模板,ZE1067A,3030,8635.5,,,3030,8635.5,,
02013115,PP模板,ZE1070A,3030,7575,,,3030,7575,,
02013116,PP模板,ZE1067A,3030,6666,,,3030,6666,,
020201,毛条,,13972,737.96,,,,,13972,737.96
02020201,3CM有字圆贴,,784,14.11,,,,,784,14.11
02020202,3CM无字圆贴,,30134,607.09,,,,,30134,607.09
02020204,4CM无字圆贴,,98400,2469.6,,,,,98400,2469.6
02020205,AUZOU 3CM 圆贴,,37980,652.5,,,,,37980,652.5
02020208,AUZOU 4CM 圆贴可移,,200671,6131.51,,,,,200671,6131.51
02020209,3CM无字可移圆贴,,267100,6140,,,,,267100,6140
02020210,4CM无字可移圆贴,,353099,8839.87,,,30300,757.5,322799,8082.37
02020211,4CM无字不可移圆贴,,87900,2285.4,,,,,87900,2285.4
02020212,2CM 有字 圆贴（新款刮画灯）,,34100,13120,,,,,34100,13120
02020213,3CM有字圆贴 不可移,,174376,3286.94,,,576,10.94,173800,3276
02020214,3CM无字不可移圆贴,,200000,3000,,,,,200000,3000
02020215,4CM 有字 不可移圆贴,,273850,6846.25,,,68524,1713.1,205326,5133.15
02020216,4CM 有字 圆贴,,5938,148.45,,,,,5938,148.45
02020218,圆贴,,19,267,,,,,19,267
02020219,4CM 有字 不可移圆贴 带黑标,,167850,4196.25,,,67824,1695.6,100026,2500.65
02020302,双头刮笔,,83250,11625.5,,,43100,5603,40150,6022.5
02020304,A号竹刮笔,,8214,903.54,,,2214,243.54,6000,660
02020305,B号竹刮笔,,22617,2940.21,,,6872,893.36,15745,2046.85
02020307,斜切木刮笔带logo,,20300,3045,,,3652,547.8,16648,2497.2
02020408,(十字绣线)PE袋,,4485,269.1,,,2700,162,1785,107.1
02020409,刮画PE袋,,1444,259.92,,,,,1444,259.92
02020411,PE袋,,1650,363,,,,,1650,363
02020415,PE袋,,1800,304,,,,,1800,304
02020416,PE袋,,3000,60,,,3000,60,,
02020420,收缩袋,,10000,781,,,7000,406,3000,375
02020421,PE袋,,50,9,,,,,50,9
02020424,棉线-OPP袋,,800,20.8,,,,,800,20.8
02020428,十字绣PE袋,,10700,642,,,7140,428.4,3560,213.6
02020430,塑料眼睛PE袋,,7800,202.8,,,3980,103.48,3820,99.32
02020442,纸镜框收缩膜袋,,2000,112,,,2000,112,,
02020443,糊裱盒收缩膜袋,,10740,665.88,,,7000,434,3740,231.88
